Date,Time,Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary
2010,15:10,"Near Poeketi, Suriname",Blue Wings Airlines,,Godo Holo Air Strip - Paramaribo,Antonv An-28,PZ-TSV,1AJ007-10,8,6,2,8,6,2,0,"The plane crashed during poor weather into a forest ,10 minutes after taking off from Godo Olo Air Strip."
2010,9:30,"Salang pass, Afghanistan",Pamir Airlines,,Kunduz - Kabul,Antonv An-24B,YA-PIS,27307903,44,38,6,44,38,6,0,"The plane crashed in Salang pass, 60 miles north of Kabul. Weather was poor in the general area. It was reported that an early ground proximity warning system was misunderstood by the crew, either due to language problems or because of previous false alerts"
2010,6:10,"Mangalore, India",Air India Express,812,"Dubai, UAE - Mangalore, India",Boeing 737-8HG,VT-AXV,36333/2481,166,160,6,159,153,6,0,"While attempting to land at Mangalore Airport, the plane overran the runway, slid down a ravine into a wooded valley, and burst into flames. Despite being warned by the aircraft computers to ""pull up, the captain did not heed the warning. He also ignored the co-pilot telling him to go-around,"
2010,10:00,"Yangadou, Cameroon",Aero Service,,Yaoundé-Nsimalen - Yangadou Mine Airstrip,CASA 212 Aviocar,TN-AFA,151,11,9,2,11,9,2,0,The plane crashed in a remote area on the Cameroon / Congo border. The plane was carrying executives of the mining company Sundance Resources.
2010,5:59,"Quebec, Canada",Aéropro,201,Quebec -Sept-ÃŽles,Beechcraft A100 King Air,C-FGIN,B-164,7,5,2,7,5,2,0,"The pilot reported a problem with his right engine after take off and tried to return for an emergency landing but crashed into a private field and exploded, approximately 1 mile north of Jean-Lesage International Airport. The aircraft took off with reduced engine power not recommended by the manufacturer. Once the right engine stopped working, the pilots didn't rotate the engine's blades to be parallel with the flow of air, a procedure called feathering that helps to reduce drag. The crew were not properly trained for emergencies, and mechanical defects were not being logged. The companyâ€™s license was revoked."
2010,17:40,"Tuzla, Romania",Military - Romainian Air Force,,Tuzla - Tuzla,Antonov AN-2,53,1G194-53,14,10,4,12,NULL,3,0,"The military plane, on parachuting training flight, crashed 2 km from the airport  into a field shortly after taking off. Operational errors upon take-off most likely caused the accident."
2010,9:45,"Islamabad, Pakistan",Airblue,202,Karachi - Islamabad,Airbus A321-231,AP-BJB,1218,152,146,6,152,146,6,0,"The passenger plane crashed in the Margalla hills while attempting to land at Benazir Bhutto International Airport. The tower lost contact with the plane as it was about to land in poor weather conditions. Controlled Flight into Terrain, in which aircrew failed to display superior judgment and professional skills in a self created unsafe environment. In their pursuit to land in inclement weather, they committed serious violations of procedures and breaches of flying discipline, which put the aircraft in an unsafe condition over dangerous terrain at low altitude."
2010,18:22,"Near Elmendorf AFB, Alaska",Military - US Air Force,,Practice maneuvers,McDonnell Douglas C-17A Globemaster III,00-0173,P-73,4,0,4,4,0,4,0,"The cargo plane took off from runway 6 to practice for upcoming maneuvers. After the initial climb, the pilot made a sharp right turn. As the aircraft banked, the stall warning system activated . Instead of implementing stall recovery procedures, the pilot continued the turn as planned and the aircraft entered a stall from which recovery was not possible. The aircraft impacted a wooded area northwest of the airfield."
2010,15:15,"Near Denali National Park, Alaska",All West Freight,,Palmer-Wolf - Unalakleet,Fairchild C-123K,N709RR,20158,3,0,3,3,0,3,0,"The cargo plane crashed into Mount Healy while en route. The pilot's failure to maintain adequate airspeed to avoid a low altitude stall, resulting in a loss of control and collision with terrain."
2010,1:19,"Igarka, Russia",Katekavia Airline,KYU9357,Karsnoyarsk - Igarka,  Antonov An-24 V,RA-46524,47310003,15,12,3,12,11,1,0,"The plane crashed while on approach to Igarka Airport in adverse weather conditions. Crew tried to land in below weather minimums. Execution of an approach in conditions worse than the weather minima of the airfield, aircraft, and pilot. The failure of the crew to take a timely decision for a missed approach when the plane descended below the minimum safe height in the absence of reliable visual contact with approach lights and runway lights. This caused the aircraft to strike trees and the ground in controlled flight."
2010,14:45,"Near Dillingham, Alaska",GCI Communications Corp.,,Lake Nerka - Nushagak River,de Havilland Canada DH-3T Otter,N455A,206,9,8,1,5,4,1,0,"The floatplane, carrying passengers to a fishing site crashed into a brush and rock covered mountainside in light rain and fog. Former Alaska U.S. Senator, Ted Stevens, was among those killed.The NTSB found the probable cause to be the pilotâ€™s temporary unresponsiveness for reasons that could not be established from the available information. There was no mechanical problem with the plane and that weather was not likely a factor in the crash."
2010,1:49,"San Andreas Island, Colombia",AIRES Colombia,,Bogota - San Andreas Island,Boeing B-737-73V,HK-4882,32416/1270,131,125,6,2,2,0,0,"The airliner crashed onto the runway and broke in two during a major storm. One hundred twenty four people were injured. One passenger died of a heart attack and a 11- year-old girl died later of head injuries. Execution of the flight below the angle of approach, due to a misjudgment of the crew, believing to be much higher, leading the aircraft to fly a typical trajectory of a 'black hole' illusion, which was experienced during the night-time approach to a runway with low contrast surrounded in bright focused lights, aggravated by bad weather of heavy rain."
2010,14:12,"Off Kaminshak Bay, Alaska",Branch River Air Service,,Swikshak Lagoon - King Salmon,de Havilland Canada DHC-2 Beaver,N9313Z,441,4,3,1,4,3,1,0,Crashed in the water off Katmai National Park. Only fragments of the plane were foud. No bodies were ever found. The probable cause was undetermined.
2010,7:30,"Bastipur, Nepal",Agni Air,101,Kathmandu - Lukla,Dornier 228-101,9NAHE,732,14,11,3,14,11,3,0,"The crew decided to divert to Simara Airport due to poor weather conditions at Kathmandu. Contact with ATC was lost when the plane crashed into a hillside at 9,000 ft., 20 miles SSW of Kathmandu. The crew members became disoriented after they lost contact with the ATC due to failure of both generators and the exhaustion of the backup battery."
2010,22:10,"Yichun, China",Henan Airlines,,Harbin - Yichun,Embraer ERJ-190-100LR,B-3130,19000223,96,91,5,44,41,3,0,"The plane overshot the runway while landing and burst into flames. The pilot violated aviation rules during the descent, did not locate the runway before landing and abandoned the crashed aircraft."
2010,13:00,"Bandundu, Congo Democratic Republic",Filair,,Kinshasa - Bandundu,Let 410UVP-E,9Q-CCN,912608,20,17,3,19,16,3,0,"The plane crashed 2km from the airstirp and impacted a house as it attempted to land following a go-around. A passenger brought aboard a crocodile hidden in a sports bag. The crocodile escaped, causing a panic among passengers who all rushed to one end of the plane. This caused an imbalance in the aircraft which led to loss of control and a crash."
2010,,"Buena Vista, Venezuela",Military - Venezuelan National Guard,,Buena Vista - Cararabo,Mi 17V-5,GN10139,,10,NULL,NULL,10,NULL,NULL,0,"The helicopter crashed while taking off on a counter-drug mission, killing all 10 soldiers on board. They were searching for a group of suspected drug traffickers in southwestern Apure state."
2010,19:39,"Dubai, United Arab Emirates",United Parcel Service- UPS,6,"Dubai - Bonn, Germany",Boeing B747-44AF,N571UP,35668/1393,2,0,2,2,0,2,0,"The cargo plane crashed 10 km North of Dubai Airport shortly after taking off. The plane was attempting to return to the airport when the accident happened. The data recorder indicated there was smoke or fire coming from the cargo area. The cargo plane's pilots struggled to see their primary flight instrument displays as thick smoke filled the cockpit. The pilots could  not manually control the planeâ€™s elevation and direction, probably because cables running above the likely location of a cargo fire lost tension. The fire began near where a shipment of lithium batteries were stored."
2010,1:15,Fox Glacier Airstrip,Sky Dive New Zealand,,Fox Glacier Airstrip - Fox Glacier Airstrip,Fletcher FU-24-954,ZK-EUF,281,9,8,1,9,8,1,0,"Seconds after taking off from Fox Glacier airstrip, the aircraft crashed and burned in a field. Investigators blamed an overloaded plane and too much weight towards the back of the plane."
2010,10:32,"Puerto Ordaz, Venezuela",ConviasaAirline,2350,Porlamar - Puerto Ordaz,ATR 42-320,YV-1010,371,51,47,4,17,14,3,0,"While en route, the passenger plane crashed and burned in a storage yard of a steel foundry, six miles SE of Puerto Ordaz Airport, after the pilot reported having problems controlling the aircraft."
2010,,"Chopan district, Zabul Province, Afghanistan",International Security Assistance Force,,,Sikorsky UH-60 Black Hawk,"	93-26517",,13,NULL,NULL,10,NULL,NULL,0,The military helicopter crashed while en route. There were no reports of enemy fire prior to the accident.
2010,,"Rasht Valley, Tajikistan","	Military - Tajik National Guard",,,Mi-8,,,28,NULL,NULL,28,NULL,NULL,0,The military helicopter crashed after hitting power lines.
2010,19:50,"Near Kabul, Afghanistan",National Air Cargo,,Bagram AB - Kabul,Lockheed L-100 Hercules,5X-TUC,4362,8,0,8,8,0,8,0,The cargo plane crashed into a mountainside about 18 miles east of Kabul Airport.
2010,,"Near Bugulumisa, Congo",Tracep,,Bukavu - Shabund,Let 410UVP,9Q-CUA,X0101,2,0,2,2,0,2,0,The cargo plane experienced an engine failure 5 minutes after taking off causing the aircraft to crash.
2010,17:45,"Near Guasimal, Cuba",Aerocaribbean,883,Santiago de Cuba- Havana,ATR-72-212,CU-T1549,459,68,61,7,68,61,7,0,"While the plane was en route, the pilot radioed an emergency message. Contact was lost and the plane crashed into mountainous terrain. All 61 passenger and 7 crew were killed.Icing  in combination with crew errors in handling the situation."
2010,7:10,"Near Karachi, Pakistan",JS Air,,Karachi - Oil compound in Sindh province,Beechcraft 1900C-1,AP-BJD,UC-157,21,17,4,21,17,4,0,"The plane, carrying Italian oil company personne,l suffered an engine failure on climb-out and was attempting to return to the airport when it nose-dived and crashed near a residential area in Gulistan-e-Jauhar."
2010,12:07,"Strezhevoy, Russia",NARZ,,,Mil Mi-8T,RA-22376,7257,10,NULL,NULL,7,NULL,NULL,0,"The helicopter, which was delivering workers to a drilling site, crashed and burned while attempting to land, after the tail rotor became entangled in wires."
2010,1:53,"Karachi, Pakistan",Sun Way,4412,Karachi - Khartoum,Ilyushin Il-76TD,4L-GNI,43452546,8,0,8,8,0,8,4,"The cargo plane, carrying 31 tons of relief supplies for Sudan, crashed into buildings of the Naval Housing Colony while attempting to return to runway 07R shortly after taking off from Karachi. The cause of the occurrence was uncontained failure of the 2nd stage disk of LP compressor of Engine # 4 due to fatigue fracture which resulted in in-flight fire and damage to adjacent areas of right wing / flaps to an extent that flight could not be sustained."
2010,14:49,"Moscow, Russia",Dagestan Airlines,372,"Moscow -Makhachkala, Dagestan",Tupolev Tu-154M,RA-85744,92A-927,169,160,9,2,2,0,0,"About 80km out from Moscow, the crew reported losing all three engines, electrical power and navigation equipment. They decided to divert back to Moscow. Visual contact with the ground could not be established until breaking through the overcast at 500 feet. The aircraft landed, skidded off the runway and broke into three pieces. Unintentional shutdown of supply tank booster pumps when the flight engineer carried out manual fuel transfer procedures during the climb, leading to instantaneous oscillation of fuel flow to the engines and their speed, a shut down of the outer engines and power supply problems in the aircraft for 2 minutes 23 seconds due to the failure of three generators. Failure to use all the possibilities by the crew to restore engine power;"
2010,15:30,"Palunge Hill, Nepal",Tara Air,,Lamidanda - Kathmandu,de Havilland Canada DHC-6 Twin Otter,9N-AFX,806,22,19,3,22,19,3,0,The plane crashed into Palunge Hill after its right wing clipped the mountaintop while en route.
2011,15:25,"Surgut, Russia",Kogalmavia,348,Surgut - Moscow,Tupolev Tu-154B-2,RA-85588,83A588,124,116,8,3,3,0,0,The passenger jet caught fire and exploded as it taxied for take off. Three passenger were killed and 43 injured during the evacuation. Electrical short.
2011,19:45,"Orumiyeh, Iran",Iran Air,277,Tehran - Orumiyeh,Boeing B-727-286,EP-IRP,20945/1048,105,93,12,77,65,12,0,The accident happened after the plane was unable to land because of poor weather conditions and was attempting a go-around. The aircraft crashed 5 miles from the Orumiyeh airport in a snowy field..
2011,16:40,"Off Plettenberg Bay, South Africa",Majuba Aviation,,Queenstown - Plettenberg Bay,Pilatus PC-12/47,ZS-GAA,858,9,7,2,9,7,2,0,"When the crew encountered dense fog, limiting visibility, the pilot aborted the landing and was in the process of a go-around when the plane crashed into the sea."
2011,9:45,"Cork, Ireland",Manx2,7100,Belfast - Cork,Swearingen SA-227BC Metro III,EC-ITP,BC-789B,12,10,2,6,4,2,0,"The Metroliner made an approach to Runway 17 in low visibility and the crew decided to go-around. A second attempt to land on Runway 35 was also unsuccessful and resulted in another go-around. During a third landing attempt on Runway 17, the aircraft crashed adjacent to Taxiway C and came to rest upside down. A fire soon erupted. Four passenger and both crew members were killed. Improper crew coordination and procedures led to loss of control of the aircraft. A contributing factor was inadequate maintenance causing the two engines to develop unequal thrust."
2011,8:02,"Near Santa Ana Francisco Morazan, Honduras",Central American Airways,731,San Pedro Sula - Tegucigalpa,Let L-410 UVPE-20,HR-AUQ,912603,14,12,2,14,12,2,0,"The small airlilner crashed into a hill at an elevation of 2,000 feet while on approach in poor visibility. Windshear."
2011,15:30,"Pointe-Noire, Congo",Trans Air Cargo,,Brazzaville - Pointe Noire,Antonov 12BP,TN-AGK,402006,9,5,4,9,5,4,14,The cargo plane was approaching Runway 17 at Pointe-Noire Airport when it crashed in the Mvou Mvou residential area and was destroyed.
2011,13:30,"Kinshasa, Congo",United Nations,834,Kisangani - Kinshasa,Canadair CL-600 CRJ-100ER,4L-GAE,7070,33,29,4,32,28,4,0,"The plane operated on behalf of the United Nations Organization Stabilization Mission and was leased from Geogian Airways. While attempting to land in rain, thunderstorms and strong winds at Kinshasa, the plane missed the runway and crashed. Twenty eight passengers and crew of 4 were killed. One passenger survived. he inappropriate decision of the crew to continue the approach, in face of extremely inclement weather being displayed on their weather radar. Lack of adequate supervision by the Operator to ensure that its crew complied with established procedures including weather avoidance procedures and stabilized approach criteria."
2011,13:57,"	Tawang, India","	Pawan Hans Helicopters Ltd.",,,"	Mil Mi-172","	VT-PHF",356C06,23,NULL,NULL,18,NULL,NULL,0,"The helicopter crashed into a hill as it attempted to land at a high altitude helipad Six, including the copilot escaped with minor injuries.."
2011,14:52,"Manaus, Brazil","	AmazonavesAir Taxi",,Manaus - Santarem,Embraer/Piper EMB-810C Seneca,PT-EFS,"	810055",7,6,1,7,6,1,0,The airl taxi crashed about one minute after taking off from Manaus Airport.
2011,14:00,"Off Kaimana, Indonesia",Merpati Nusantara Airlines,,Sorong - Kaimana,Xian MA-60,PK-MZK,603,27,21,6,27,21,6,0,"The turboprop had been circling Kaimana Airport for about 15 minutes when it crashed into the sea, 400 meters offshore, in poor weather conditions."
2011,20:53,"Near Prahuaniyeu, Argentina",SOL Lineas Aereas,5428,Neuquen - Comodoro Rivadavia,Saab 340A,LV-CEJ,25,22,19,3,22,19,3,0,"The domestic scheduled passenger flight crashed 12.5 miles north of Prahuaniyeu while en route, after transmitting a distress call. All 19 passengers and crew of three aboard were killed. Inadequate flight planning. Inadequate operational decision making on the part of the pilot. Loss of situational awareness from the flight crew."
2011,23:40,"Petrozavodsk, Russia",RusAir Airlines,7R-243,Moscow - Petrozavodsk,Tupolev Tu-134,RA-65691,63195/5703,52,43,9,47,39,8,0,"The airliner crashed while on final to Petrozavodsk in heavy fog, landing 1 kilometers short of the runway. The plane soon broke up and caught on fire. Factors in the accident: heavy fog. The crew could not see the runway's ground lights, but did not decide to turn away and make another attempt at landing. The plane hit nearby trees before crashing. Cooperation among the crew during the landing attempt was poor, with the pilot subordinating himself to the navigator and the co-pilot effectively excluded from decisions. The navigator was intoxicated."
2011,23:00,"Near Bagram Air Base, Afghanistan",Silk Way Airlines,,"Baku, Azerbaijan - Bagram Air Base, Afghanistan",Ilyushin76TD,4K-AZ55,2053420680,9,0,9,9,0,9,0,"While flying at 12,500 feet, the cargo plane crashed into a mountain peak, exploded and burned about 15 miles from Bagram. The aircraft was loaded with fuel for the International Security Assistance Force in Afghanistan."
2011,15:00,"Kisangani, Congo",Hewa Bora Airways,952,Kinshasa - Kisangani,Boeing B-727-100,9Q-COP,18933,115,108,7,77,72,5,0,"The airliner crashed and broke up after missing the runway while attempting to land at Bangoka International Airport. There was heavy rain, thunderstorms and limited visibility at the time of the accident."
2011,11:55,"Near Strezhevoy, Russia",Angara Airlines,5007,Tomsk - Surgut,Antonov An-24RV,RA-47302,57310302,37,33,4,7,7,0,0,"After reporting an engine fire in the left engine, the pilot attempted to make an emergency landing at Strezhevoy but ditched into the Orb River. Both pilots were not certified to fly. The captain's license was revoled and the first officer had not finished his requalification exam."
2011,11:53,"Recife, Brazil",NOAR Linhas Aéreas,SP-5007,Recife - Natal,Let L-401UVP-20,PR-NOB,2722,16,14,2,16,14,2,0,"The regional airliner had taken off from Runway 18 after which the pilot reported that he wanted to return for an emergency landing. He then stated he was attempting a forced landing on the beach of Boa Viagem but instead the plane crashed into a vacant lot and burst into flames near the beach, 1.2 miles from the runway threshold."
2011,9:00,"Near Guelmim, Morocco",Military - Royal Moroccan Air Force,,Dakhla - Guelmim - Kinitra,Lockheed C-130 Hercule,CNA-OQ,4892,80,71,9,80,71,9,0,"The military transport plane crashed in the mountain, 6 miles northeast of Guelmim in bad weather while attempting to land."
2011,4:12,"Off Jeju, South Korean",Asiana Airlines,991,Seoul - Shanghai,Boeing B-747-48EF,HL-7604,29907/1370,2,0,2,2,0,2,0,"The cargo plane crashed into the sea about 70 miles west of Jeju after the crew reported a fire in a cargo hold. The plane was carrying 58 tons of electronic and machine parts, including lithium batteries."
2011,,"Tangi Valley, Afghanistan",Military - U.S. Army,,,Boeing CH-47 Chinook,,,38,NULL,NULL,38,NULL,NULL,0,"Thirty-eight people, including 31 U.S. special forces troops and 7 Afghan soldiers were killed when their helicopter was shot down with a rocket-propelled grenade during overnight operations against Taliban insurgents."
2011,14:34,"Near Omsukchan, Russia",Avis Amur, LN-9209,Magdan - Keperveem,Antonov 12,RA-11125,3341006,11,2,9,11,2,9,0,"After leaving Magdan the crew of the cargo plane reported a fuel leak and an engine fire. While trying to return to Magdan, the plane crashed 6 miels from Omsukchan, 190 miles from its original take-off point. The plane carried 18 tons of cargo."
2011,12:50,"Resolute Bay, Nunavut, Canada",First Air,6560,Yellowknife - Resolute Bay,Boeing B-737-210C(A) Combi,C-GNWN,21067/414,15,11,4,12,8,4,0,"While on instrument approach and initiating a go-around, the plane hit a hill side 2km east of the runway and broke up into 3 pieces.The crew had initiated the go-around 2 seconds before impact. The late initiation and subsequent management of the descent resulted in the aircraft turning onto final approach 600 feet above the glideslope, increasing the crewâ€™s workload and reducing their capacity to assess and resolve the navigational issues during the remainder of the approach."
2011,19:00,"Mosby, Missouri",LifeNet,,Bethany - Mosby,Eurocopter AS350B2,N352LN,3728,4,3,1,4,3,1,0,"The helicopter was headed for Mosby to refuel when it crashed in a field 1.7 nm north-northeast of Midwest National Air Center. The pilot, nurse, paramedic and patient were all killed."
2011,17:48,"Juan Fernandez Island, Chile",Chilean Air Force,,Santiago - Juan Fernandez Island,CASA C-212 Aviocar 300DF,966,443,21,17,4,21,17,4,0,"The aircraft attempted to land at the airport on two occasions, but strong winds prevented it from landing.The aircraft subsequently crashed into the sea 1 kilometre (1,100 yd) off the island on its third approach. One of those killed was Felipe Camiroaga, the most important TV entertainer in Chile."
2011,18:50,"Near Trinidad, Bolivia",Aerocon,A4-238,"Santa Cruz - Trinidad, Bolivia",Swearingen SA-227BC Metroliner III,CP-2548,BC-768B,9,7,2,8,6,2,0,"The plane crashed into the jungle while on approach to Runway 14 at Trinidad Airport. After the crew reported they were turning into the final approach, radio contact was lost. The plane was found 2 days later, 10 km from the airport. One passenger survived."
2011,15:50,"Yaroslavl, Russia",YAK Service,9633,Yaroslavl - Minsk,Yakovlev 42D,RA-42434,4.52E+12,45,37,8,44,37,7,0,"The plane failed to climb after takeoff and crashed into an antenna outside the airport perimeter and came to rest in the Volga River, 1km from the runway. The plane carried the entire Lokomotiv Yaroslavl ice hockey team. Pilot error. Both pilots had experience on the Yak-40 but were assigned to switch between types , contrary to proper practice. They apparently had never learned the correct position for their feet on takeoff. In the Yak-42, and like virtually all other existing Russian and Western planes, a pilot steers the aircraft by pressing the lower part of pedals and activates the brakes by pressing their upper part.But instead of putting his heels on the cockpit floor as required,  One pilot left his feet resting on the pedals, as correct for the Yak-40. This applied the brakes, causing a downward pitch force that  prevented the plane from rotating to take off. They made the fatal mistake of failing to abort the takeoff, but kept applying more upward   pitch with the result that when the plane finally left the ground and the downward pitch force stopped, it went into a stall within seconds."
2011,12:00,"Huambo, Angola",Military - FANA Forca Aerea Nacional Angolana,,Huambo - Luanda,Embraer 120ER Brasilia,T-500,120357,36,34,2,30,30,0,0,"The military plane crashed, broke in two and burned while attempting to takeoff from Huambo Airport. Six persons survived including the pilot and copilot."
2011,16:25,"Reno, Nevada",Private - Aero Trans Corp,,Air race,North American P-51D-15-NA Mustang,N79111,109-35934,1,0,1,1,0,1,10,The pilot of the aircraft participating in an air race lost control and dove into the spectator box seating area disintegrating upon impact. A section of the left elevator trim tab separated in flight. Investigation determined that the looseness of the elevator trim tab attachment screws and a fatigue crack in one of the screws caused a decrease in the structural stiffness of the elevator trim system.
2011,13:15,"Yellowknife, Northwest Territories, Canada",Arctic Sunwest Charters,,Thor Lake - Great Slave Lake,De Havilland Canada DHC-6-300 Twin Otter,C-GARW,367,9,7,2,2,0,2,0,"While coming in for a landing at Great Slave Lake the float plane hit powerlines, two cars and part of a building.  The pilot attempted to abort the landing after an aircraft float dug into the water. A cross-wind flipped the plane on end and it clipped power lines in front of a building, spinning it 90 degrees. The plane then crashed, floats first, into a faÃ§ade. The fuselage then rotated on the ground and, the floats demolished two vehicles and came to rest in a parking lot facing back the way it had come."
2011,7:31,"Near Kathmandu, Nepal",Buddha Air,,Sightseeing,Beechcraft 1900D,9N-AEK,UE-295,19,16,3,19,16,3,0,The sightseeing flight of Mt. Everest struck terrain while on approach to Kathmandu-Tribhuvan Airport. One passenger survived the accident but died on the way to the hospital.
2011,7:38,"Near Bohorok, Indonesia",Nusantara Buana Air,,Medan - Kutacane,CASA NC-212 Aviocar 200,PK-TLF,,18,14,4,18,14,4,0,"Contact with the plane was lost 10 minutes after taking off from Medan. Wreckage was located near Bohorok, on the slope of a mountain 6,100 feet high. VFR flight into IMC conditions. Lack of crew coordination."
2011,17:00,"Near Madang, Papua New Guinea",Airline PNG,1600,Lae - Madang,de Havilland Canada DHC-8-102,P2-MCJ,125,32,28,4,28,26,2,0,"While on approach to Madang, the plane crashed into dense forest near the Gogol River, 20 km south of Madang. The two pilots and two pasengers survived the accident. Overspeeding of both propellers. The plane had to be manually flown because the aircraft's yaw damper was unserviceable. Neither pilot noticed the aircraft's speed increasing to its maximum operating speed. The pilot-in-command pulled the power levels of the plane 'quite quickly'. Moments later both propellers over-sped simultaneously. The over-speeding propellers back-drove the turbines in the engines (instead of the engine turbines driving the propellers) and this caused severe damage to the left engine.After the emergency began, the first officer quickly identified the double propeller over-speed. At about the same time, smoke appeared in the cockpit and various aircraft system malfunction alerts activated. The crew did not respond to any of these alerts by implementing the emergency procedures detailed in company manuals and the quick reference handbook."
2011,4:12,"Vancouver, BC, Canada",Northern Thunderbird Air Inc.,,Vancouver - Kelowna,Beechcraft 100 King Air,C-GXRX,B-36,9,7,2,1,0,1,0,"After taking off, the pilot reported problems with the aircraft and began returning to the airport. The plane crashed 900 meters short of Runway 26L. The plane took off even though the passengers reported an oil leak under one of the wings to the crew. Shortly after taking off the captain reported he was returning to the airport due to an oil problem."
2011,12:14,"NearKilohana, Molokai, Hawaii",Blue Hawaiian Helicopter,,Sightseeing,Eurocopter EC-130 B4,N11QV,4909,5,4,1,5,4,1,0,"The sightseeing helicopter, on a tourist excursion of West Maui and Molokai, slammed into a mountainside and burst into flames while flying in heavy rain and winds. The pilot's failure to maintain clearance from mountainous terrain while operating in marginal weather conditions which resulted in impact of the horizontal stabilizer and lower forward portion of the Fenestron with he ground and or vegetation."
